query_id,cheap_end_to_end_ms,strong_end_to_end_ms,router_selected_end_to_end_ms,router_selected_tier,router_selected_model,router_decision_ms,router_overhead_ms,router_overhead_pct,router_minus_cheap_ms,router_minus_strong_ms,source
HumanEval/27,1750.0,760.0,3690.0,1,Qwen/Qwen3.5-9B,,,,1940.0,2930.0,legacy_latency_s
HumanEval/28,1670.0,730.0,2580.0,1,Qwen/Qwen3.5-9B,,,,910.0,1850.0,legacy_latency_s
HumanEval/29,3150.0,840.0,3940.0,1,Qwen/Qwen3.5-9B,,,,790.0,3100.0,legacy_latency_s
HumanEval/3,2650.0,770.0,4450.0,1,Qwen/Qwen3.5-9B,,,,1800.0,3680.0,legacy_latency_s
HumanEval/30,2360.0,900.0,30120.0,1,Qwen/Qwen3.5-9B,,,,27760.0,29220.0,legacy_latency_s
HumanEval/31,3790.0,1510.0,6370.0,1,Qwen/Qwen3.5-9B,,,,2580.0,4860.0,legacy_latency_s
HumanEval/32,17590.0,2360.0,15120.0,1,Qwen/Qwen3.5-9B,,,,-2470.0,12760.0,legacy_latency_s
HumanEval/33,6700.0,1470.0,8960.0,1,Qwen/Qwen3.5-9B,,,,2260.0,7490.0,legacy_latency_s
HumanEval/34,2200.0,710.0,6930.0,1,Qwen/Qwen3.5-9B,,,,4730.0,6220.0,legacy_latency_s
HumanEval/35,3080.0,1140.0,2890.0,1,Qwen/Qwen3.5-9B,,,,-190.0,1750.0,legacy_latency_s
HumanEval/36,9280.0,670.0,20670.0,1,Qwen/Qwen3.5-9B,,,,11390.0,20000.0,legacy_latency_s
HumanEval/37,7890.0,1100.0,9390.0,1,Qwen/Qwen3.5-9B,,,,1500.0,8290.0,legacy_latency_s
HumanEval/38,4470.0,1520.0,4470.0,2,openai/gpt-oss-20b,,,,0.0,2950.0,legacy_latency_s
HumanEval/39,7530.0,1470.0,10630.0,1,Qwen/Qwen3.5-9B,,,,3100.0,9160.0,legacy_latency_s
HumanEval/4,3810.0,1270.0,3810.0,2,openai/gpt-oss-20b,,,,0.0,2540.0,legacy_latency_s
HumanEval/40,8220.0,1230.0,7710.0,1,Qwen/Qwen3.5-9B,,,,-510.0,6480.0,legacy_latency_s
HumanEval/41,11450.0,1080.0,11450.0,2,openai/gpt-oss-20b,,,,0.0,10370.0,legacy_latency_s
HumanEval/42,3550.0,850.0,12830.0,1,Qwen/Qwen3.5-9B,,,,9280.0,11980.0,legacy_latency_s
HumanEval/43,7350.0,780.0,8490.0,1,Qwen/Qwen3.5-9B,,,,1140.0,7710.0,legacy_latency_s
HumanEval/44,4310.0,960.0,9710.0,1,Qwen/Qwen3.5-9B,,,,5400.0,8750.0,legacy_latency_s
HumanEval/45,2860.0,820.0,3220.0,1,Qwen/Qwen3.5-9B,,,,360.0,2400.0,legacy_latency_s
HumanEval/46,5830.0,2150.0,11840.0,1,Qwen/Qwen3.5-9B,,,,6010.0,9690.0,legacy_latency_s
HumanEval/47,5200.0,1060.0,10230.0,1,Qwen/Qwen3.5-9B,,,,5030.0,9170.0,legacy_latency_s
HumanEval/48,2210.0,820.0,3390.0,1,Qwen/Qwen3.5-9B,,,,1180.0,2570.0,legacy_latency_s
HumanEval/49,14230.0,1230.0,4990.0,1,Qwen/Qwen3.5-9B,,,,-9240.0,3760.0,legacy_latency_s
HumanEval/5,3250.0,930.0,3730.0,1,Qwen/Qwen3.5-9B,,,,480.0,2800.0,legacy_latency_s
HumanEval/50,1940.0,820.0,4780.0,1,Qwen/Qwen3.5-9B,,,,2840.0,3960.0,legacy_latency_s
HumanEval/51,3230.0,980.0,5890.0,1,Qwen/Qwen3.5-9B,,,,2660.0,4910.0,legacy_latency_s
HumanEval/52,2220.0,650.0,3130.0,1,Qwen/Qwen3.5-9B,,,,910.0,2480.0,legacy_latency_s
HumanEval/53,1680.0,800.0,3360.0,1,Qwen/Qwen3.5-9B,,,,1680.0,2560.0,legacy_latency_s
HumanEval/54,14220.0,1140.0,10820.0,1,Qwen/Qwen3.5-9B,,,,-3400.0,9680.0,legacy_latency_s
HumanEval/55,5690.0,950.0,7410.0,1,Qwen/Qwen3.5-9B,,,,1720.0,6460.0,legacy_latency_s
