tier,latency_s,cdf
2,5.92,0.6978021978021978
2,5.94,0.7005494505494505
2,5.96,0.7032967032967034
2,5.96,0.7060439560439561
2,5.99,0.7087912087912088
2,6.02,0.7115384615384616
2,6.08,0.7142857142857143
2,6.08,0.717032967032967
2,6.13,0.7197802197802198
2,6.14,0.7225274725274725
2,6.17,0.7252747252747253
2,6.19,0.728021978021978
2,6.21,0.7307692307692307
2,6.26,0.7335164835164835
2,6.28,0.7362637362637363
2,6.3,0.739010989010989
2,6.33,0.7417582417582418
2,6.34,0.7445054945054945
2,6.41,0.7472527472527473
2,6.47,0.75
2,6.49,0.7527472527472527
2,6.52,0.7554945054945055
2,6.52,0.7582417582417582
2,6.53,0.760989010989011
2,6.54,0.7637362637362637
2,6.55,0.7664835164835165
2,6.62,0.7692307692307693
2,6.62,0.771978021978022
2,6.66,0.7747252747252747
2,6.66,0.7774725274725275
2,6.69,0.7802197802197802
2,6.7,0.782967032967033
2,6.71,0.7857142857142857
2,6.74,0.7884615384615384
2,6.77,0.7912087912087912
2,6.86,0.7939560439560439
2,6.98,0.7967032967032966
2,7.01,0.7994505494505495
2,7.09,0.8021978021978022
2,7.23,0.804945054945055
2,7.23,0.8076923076923077
2,7.33,0.8104395604395604
2,7.35,0.8131868131868132
2,7.38,0.8159340659340659
2,7.44,0.8186813186813187
2,7.44,0.8214285714285714
2,7.49,0.8241758241758241
2,7.53,0.8269230769230769
2,7.63,0.8296703296703297
2,7.68,0.8324175824175825
2,7.74,0.8351648351648352
2,7.74,0.8379120879120879
2,7.87,0.8406593406593407
2,7.89,0.8434065934065934
2,7.9,0.8461538461538461
2,7.97,0.8489010989010989
2,8.07,0.8516483516483516
2,8.22,0.8543956043956044
2,8.31,0.8571428571428571
2,8.47,0.8598901098901099
2,8.47,0.8626373626373627
2,8.64,0.8653846153846154
2,8.8,0.8681318681318682
2,8.84,0.8708791208791209
2,8.95,0.8736263736263736
2,9.02,0.8763736263736264
2,9.03,0.8791208791208791
2,9.11,0.8818681318681318
2,9.28,0.8846153846153846
2,9.49,0.8873626373626373
2,9.52,0.8901098901098901
2,9.74,0.8928571428571429
2,9.79,0.8956043956043956
2,9.9,0.8983516483516484
2,9.96,0.9010989010989011
2,10.13,0.9038461538461539
2,10.23,0.9065934065934066
2,10.39,0.9093406593406593
2,10.48,0.9120879120879121
2,10.53,0.9148351648351648
2,10.65,0.9175824175824175
2,11.03,0.9203296703296703
2,11.04,0.9230769230769231
2,11.05,0.9258241758241759
2,11.26,0.9285714285714286
2,11.41,0.9313186813186813
2,11.45,0.9340659340659341
2,11.61,0.9368131868131868
2,11.78,0.9395604395604396
2,13.17,0.9423076923076923
2,13.99,0.945054945054945
2,14.22,0.9478021978021978
2,14.23,0.9505494505494505
2,14.62,0.9532967032967034
2,15.08,0.9560439560439561
2,15.64,0.9587912087912088
2,16.38,0.9615384615384616
2,17.06,0.9642857142857143
2,17.27,0.967032967032967
2,17.59,0.9697802197802198
2,19.77,0.9725274725274725
2,20.14,0.9752747252747253
2,21.54,0.978021978021978
2,22.16,0.9807692307692307
2,26.55,0.9835164835164835
2,33.08,0.9862637362637363
2,34.46,0.989010989010989
2,73.05,0.9917582417582418
2,83.57,0.9945054945054945
2,106.85,0.9972527472527473
2,195.96,1.0
3,0.32,0.0027472527472527475
3,0.32,0.005494505494505495
3,0.33,0.008241758241758242
3,0.34,0.01098901098901099
3,0.34,0.013736263736263736
3,0.34,0.016483516483516484
3,0.36,0.019230769230769232
3,0.36,0.02197802197802198
3,0.36,0.024725274725274724
3,0.37,0.027472527472527472
3,0.37,0.03021978021978022
3,0.37,0.03296703296703297
3,0.37,0.03571428571428571
3,0.37,0.038461538461538464
3,0.37,0.04120879120879121
3,0.37,0.04395604395604396
3,0.37,0.046703296703296704
3,0.38,0.04945054945054945
3,0.38,0.0521978021978022
3,0.38,0.054945054945054944
3,0.38,0.057692307692307696
3,0.38,0.06043956043956044
3,0.39,0.06318681318681318
3,0.39,0.06593406593406594
3,0.39,0.06868131868131869
3,0.39,0.07142857142857142
3,0.39,0.07417582417582418
3,0.39,0.07692307692307693
3,0.39,0.07967032967032966
3,0.4,0.08241758241758242
3,0.4,0.08516483516483517
3,0.4,0.08791208791208792
3,0.4,0.09065934065934066
3,0.4,0.09340659340659341
3,0.4,0.09615384615384616
3,0.41,0.0989010989010989
3,0.41,0.10164835164835165
3,0.41,0.1043956043956044
3,0.41,0.10714285714285714
3,0.41,0.10989010989010989
3,0.41,0.11263736263736264
3,0.41,0.11538461538461539
3,0.41,0.11813186813186813
3,0.41,0.12087912087912088
3,0.42,0.12362637362637363
3,0.42,0.12637362637362637
3,0.42,0.12912087912087913
3,0.42,0.13186813186813187
3,0.42,0.1346153846153846
3,0.42,0.13736263736263737
3,0.42,0.1401098901098901
3,0.42,0.14285714285714285
3,0.42,0.14560439560439561
3,0.43,0.14835164835164835
3,0.43,0.1510989010989011
3,0.43,0.15384615384615385
3,0.43,0.1565934065934066
3,0.44,0.15934065934065933
3,0.44,0.1620879120879121
3,0.44,0.16483516483516483
3,0.44,0.16758241758241757
3,0.44,0.17032967032967034
3,0.44,0.17307692307692307
3,0.44,0.17582417582417584
3,0.44,0.17857142857142858
3,0.45,0.1813186813186813
